Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
1,BubbleSortUntilNoChange,int,100,bestCase,1,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,2,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,3,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,4,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,5,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,6,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,7,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,8,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,9,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,10,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,11,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,12,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,13,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,14,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,15,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,16,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,17,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,18,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,19,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,20,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,21,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,22,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,23,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,24,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,25,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,26,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,27,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,28,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,29,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,30,0.01
1,BubbleSortUntilNoChange,int,100,bestCase,31,0.01
