Experiment Index,Algorithm,Data Type,Size,Structure,Trial,Time(ms)
1,BubbleSortUntilNoChange,int,100,bestCase,1,0.01
2,BubbleSortUntilNoChange,int,100,worstCase,1,0.52
3,BubbleSortUntilNoChange,int,100,averageCase,1,0.27
4,BubbleSortUntilNoChange,int,1000,bestCase,1,0.03
5,BubbleSortUntilNoChange,int,1000,worstCase,1,13.22
6,BubbleSortUntilNoChange,int,1000,averageCase,1,3.26
7,BubbleSortUntilNoChange,int,10000,bestCase,1,0.04
8,BubbleSortUntilNoChange,int,10000,worstCase,1,185.09
9,BubbleSortUntilNoChange,int,10000,averageCase,1,157.13
10,BubbleSortUntilNoChange,long,100,bestCase,1,0.03
11,BubbleSortUntilNoChange,long,100,worstCase,1,0.72
12,BubbleSortUntilNoChange,long,100,averageCase,1,0.30
13,BubbleSortUntilNoChange,long,1000,bestCase,1,0.03
14,BubbleSortUntilNoChange,long,1000,worstCase,1,4.82
15,BubbleSortUntilNoChange,long,1000,averageCase,1,1.93
16,BubbleSortUntilNoChange,long,10000,bestCase,1,0.04
17,BubbleSortUntilNoChange,long,10000,worstCase,1,217.50
18,BubbleSortUntilNoChange,long,10000,averageCase,1,294.53
19,BubbleSortUntilNoChange,float,100,bestCase,1,0.03
20,BubbleSortUntilNoChange,float,100,worstCase,1,0.85
21,BubbleSortUntilNoChange,float,100,averageCase,1,0.25
22,BubbleSortUntilNoChange,float,1000,bestCase,1,0.02
23,BubbleSortUntilNoChange,float,1000,worstCase,1,4.77
24,BubbleSortUntilNoChange,float,1000,averageCase,1,3.62
25,BubbleSortUntilNoChange,float,10000,bestCase,1,0.04
26,BubbleSortUntilNoChange,float,10000,worstCase,1,472.49
27,BubbleSortUntilNoChange,float,10000,averageCase,1,500.06
28,BubbleSortUntilNoChange,double,100,bestCase,1,0.02
29,BubbleSortUntilNoChange,double,100,worstCase,1,0.46
30,BubbleSortUntilNoChange,double,100,averageCase,1,0.07
31,BubbleSortUntilNoChange,double,1000,bestCase,1,0.01
32,BubbleSortUntilNoChange,double,1000,worstCase,1,6.41
33,BubbleSortUntilNoChange,double,1000,averageCase,1,3.73
34,BubbleSortUntilNoChange,double,10000,bestCase,1,0.05
35,BubbleSortUntilNoChange,double,10000,worstCase,1,422.29
36,BubbleSortUntilNoChange,double,10000,averageCase,1,524.40
37,BubbleSortUntilNoChange,char,100,bestCase,1,0.95
38,BubbleSortUntilNoChange,char,100,worstCase,1,0.13
39,BubbleSortUntilNoChange,char,100,averageCase,1,0.09
40,BubbleSortUntilNoChange,char,1000,bestCase,1,10.72
41,BubbleSortUntilNoChange,char,1000,worstCase,1,3.36
42,BubbleSortUntilNoChange,char,1000,averageCase,1,6.70
43,BubbleSortUntilNoChange,char,10000,bestCase,1,478.44
44,BubbleSortUntilNoChange,char,10000,worstCase,1,461.76
45,BubbleSortUntilNoChange,char,10000,averageCase,1,522.68
46,BubbleSortUntilNoChange,string,100,bestCase,1,0.56
47,BubbleSortUntilNoChange,string,100,worstCase,1,0.08
48,BubbleSortUntilNoChange,string,100,averageCase,1,0.06
49,BubbleSortUntilNoChange,string,1000,bestCase,1,6.23
50,BubbleSortUntilNoChange,string,1000,worstCase,1,6.53
51,BubbleSortUntilNoChange,string,1000,averageCase,1,5.37
52,BubbleSortUntilNoChange,string,10000,bestCase,1,635.12
53,BubbleSortUntilNoChange,string,10000,worstCase,1,616.96
54,BubbleSortUntilNoChange,string,10000,averageCase,1,822.60
55,BubbleSortWhileNeeded,int,100,bestCase,1,0.01
56,BubbleSortWhileNeeded,int,100,worstCase,1,0.21
57,BubbleSortWhileNeeded,int,100,averageCase,1,0.24
58,BubbleSortWhileNeeded,int,1000,bestCase,1,0.03
59,BubbleSortWhileNeeded,int,1000,worstCase,1,28.39
60,BubbleSortWhileNeeded,int,1000,averageCase,1,11.33
61,BubbleSortWhileNeeded,int,10000,bestCase,1,0.02
